제목1,제목2,유사도 측정(0~1)
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","유영민 장관, 5G폰 개통식 취소하고 고성 산불 현장 찾아",0.10869565217391308
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","자율주행차법 국회 통과…""촉진·지원 기틀 마련""",0.11111111111111116
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","[강원大산불] 정부, 강원도 피해지역에 43억원 긴급 구호 지원",0.30000000000000004
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령 ""강원도 산불 지역 특별재난지역 지정 검토"" 지시(종합2보)",0.7741935483870968
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령 ""지자체·군 등 가용자원 투입해 마지막까지 최선 다해달라""",0.17391304347826086
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문대통령 ""특별재난지역 지정 검토 서둘러달라…잔불 진화 만전""",0.41025641025641024
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","청와대 ""고성 일대 산불 상황, 오늘 오전 북측에 통보""",0.16666666666666663
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","""부산 청년 15.6%만 오거돈 시장 긍정평가…19.1%는 부정적""",0.10416666666666663
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",[녹취구성] 문 대통령 “집 잃은 이재민 각별히 보살펴야”,0.14893617021276595
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",대북 제재 압박 무용론 '솔솔',0.08108108108108114
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","남·북·미+러시아, 합종연횡 외교전",0.125
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",[내일의 눈] '큰 성과'라는 이해찬 '송구스럽다'는 황교안,0.040000000000000036
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","끝까지 환자 생각한 故윤한덕 센터장·故임세원 교수, 훈장 추서",0.08163265306122447
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",문재인 대통령 “잔불까지 완전히 정리될 때까지 경각심 가지고 마지막까지 최선을”,0.18367346938775508
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",문 대통령 “꺼진불도 확인… 이재민 체육관 수용 지양”,0.2093023255813954
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","노영민식 계산법 “창원 성산 45% 득표, 대통령 지지율 4%P 오른 것”",0.16666666666666663
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","강원도 향한 자원봉사·모금 손길…복지부, 의료지원·긴급복지 실시",0.15217391304347827
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령 ""꺼진 불도 다시 확인…'특별재난지역' 지정 검토""",0.4722222222222222
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",文대통령 국정지지도 41% ‘최저치’…서울·사무직·학생 등 돌려,0.14
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",문 대통령 “강원지역 특별재난지역 지정 속히 검토”,0.5
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","강원 일대 국가재난사태 선포…이 총리, 화재 현장 상황 지휘",0.1777777777777778
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문 대통령, 위기관리센터 다시 찾아…“주민 안전 주의”",0.15555555555555556
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",문 대통령 “강원 산불 특별재난지역 지정 검토”,0.6
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문 대통령, 위기관리센터 재방문...""특별재난지역 지정 검토""",0.4444444444444444
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령, 강원 산불에 ""특별재난지역 지정 검토""...특교세 등 42억5000만원 긴급 지원키로",0.4318181818181819
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령 ""강원도 산불 지역 특별재난지역 지정 검토"" 지시(종합)",0.8275862068965517
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문 대통령, 위기관리센터 방문해 강원 산불 보고 받아…""특별재난지역 지정 검토하라""",0.5
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","부산 청년, 오거돈 시장 어떻게 평가하나…""15.6% 긍정 vs 19.1% 부정""",0.11538461538461542
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","한국갤럽 ""문 대통령 지지율, 취임후 최저치인 41%까지 하락""",0.17391304347826086
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문대통령 ""예비전략 예산, 국방예산 1%로 확대하겠다""",0.19512195121951215
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",소득은 늘었는데 소비가…멀고 험난한 '소주성' 가는 길,0.04347826086956519
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",자생적 ‘정치판사’의 등장,0.05128205128205132
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",강원도 산불 피해 복구 발 벗고 나선 금융권,0.21052631578947367
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",[강원 산불]전·현 행안장관 산불 현장서 인수인계(종합),0.2195121951219512
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",文대통령 “잔불 완전정리 총력…특별재난지역 지정 서둘러 달라”,0.2790697674418605
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문 대통령 ""강원도 산불 지역 '특별재난지역' 지정 검토하라""",0.6451612903225806
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",'강원 산불'에 文대통령 '특별재난지역 지정 검토 서둘러 달라'(종합),0.5833333333333334
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",문재인 대통령 “꺼진 불도 다시 확인하라” 지시,0.2702702702702703
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문재인 대통령, 산불피해 이재민 공공기관 연수시설 활용해 수용 지시",0.33333333333333326
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령, 강원도 산불 ‘특별재난지역 검토’ 지시",0.6129032258064516
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","[속보] 靑 ""군 통신선 통해 산불 상황 北측에 통보""",0.14634146341463417
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",윤상현 “북한 아동ㆍ임산부 영양 상태 최악…인도적 지원 시급해”,0.1428571428571428
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",문 대통령 “특별재난지역 지정 검토 서둘러달라”,0.4
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文 대통령 ""강원도 산불 지역 특별재난지역 지정 검토"" 지시",0.6896551724137931
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령 ""강원도 산불 지역 특별재난지역 지정 검토"" 지시",0.6896551724137931
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文 ""잔불까지 완전히 정리해야""…靑, 강원 산불 상황 北에 통보",0.2558139534883721
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","[속보] 문 대통령, 강원 산불 지역 `특별재난지역` 지정 검토 지시",0.6060606060606061
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","대학병원들 ""문케어 시행 이후 환자 포화상태...부작용 심각""",0.125
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",[강원 산불] 文대통령 “가용 자원 모두 동원해 총력 대응하라”,0.20454545454545459
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",文대통령 “강원도 산불 지역 특별재난지역 지정 방안 검토” 지시,0.5757575757575758
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문대통령 ""강원 산불, 잔불 정리될 때까지 인력 모두 투입하라""",0.3170731707317074
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",문 대통령 “꺼진 불도 다시 확인…‘특별재난지역’ 지정 검토하라”,0.42500000000000004
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령 ""모든 인력 투입해 꺼진 불도 다시 확인""",0.23076923076923084
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","'민생·개혁법 불발' 3월 국회, 또 빈손…4월 전망도 '흐림'",0.08163265306122447
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",언론자유조형물 “진실은 침몰하지 않아” 문구 새긴다,0.061224489795918324
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","""임대주택 유형, 통합보다 배분방식이 중요""",0.1428571428571428
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","민주당 “민경욱 등 한국당 의원, 재난조차 조롱거리로”",0.11111111111111116
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령 지지율 41%, 취임 후 최저치…‘인사문제’ 지적 늘어 [한국갤럽]",0.12962962962962965
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",[전문] 文대통령 '동원가능 인력 총 투입해 꺼진 불도 다시 확인',0.2222222222222222
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",文대통령 '이재민 각별하게 보살펴 달라…대형공간 수용 지양',0.14893617021276595
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文대통령, 인제·고성 산불 진화에 총력 대응 거듭 강조",0.18604651162790697
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文 ""산불 '특별재난지역' 검토 서둘러달라…꺼진불도 다시 확인"" - 머니투데이 뉴스",0.2857142857142857
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","文 ""꺼진불도 다시 확인"" 주문…靑, 북측에 산불 상황 통보 - 머니투데이 뉴스",0.17647058823529416
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",‘문제의 수석은 누구?’ 노무현 청와대까지 튄 김학의 불똥,0.10416666666666663
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","트럼프 외교측근 ""단계적 방법이 옳다""",0.046511627906976716
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",文대통령 지지율 41%…'유입 지지층' 다 떠났다,0.12195121951219512
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","한국은행-금융위, 금융기관장 ‘낙하산 인사 스와프’ 논란",0.06000000000000005
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문 대통령 긴급회의 주재…""가용자원 총동원""",0.20512820512820507
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",0.33333333333333326
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령, 강원도 고성 산불 현장 방문",0.6363636363636364
"문대통령, 강원도 산불 현장 방문…이재민 위로","""산불 이후에도 개폐기 정상 작동""… 최초 발화 CCTV 찍혀",0.15384615384615385
"문대통령, 강원도 산불 현장 방문…이재민 위로","[속보] 문재인 대통령, 고성군 토성면 대책본부 방문",0.24242424242424243
"문대통령, 강원도 산불 현장 방문…이재민 위로",인천공항 사장 구본환 전 국토부 항공정책실장 내정,0.05555555555555558
"문대통령, 강원도 산불 현장 방문…이재민 위로","[기상청 특보] 강원도 산불 강풍주의보 해제, 기다리던 비 소식 … 속초 고성 강릉 망상 동해산불 오늘 내일날씨 비상 건조주의보 미세먼지 일기예보",0.13793103448275867
"문대통령, 강원도 산불 현장 방문…이재민 위로","산청군, ‘농촌 신활력 플러스 사업’ 선정",0.08333333333333337
"문대통령, 강원도 산불 현장 방문…이재민 위로",산불에 초토화된 백두대간…하룻밤 새 여의도 1.8배 잿더미(종합),0.1333333333333333
"문대통령, 강원도 산불 현장 방문…이재민 위로","마힌드라, 지난달 車 60만8596대 판매...전년比 11%↑",0.06976744186046513
"문대통령, 강원도 산불 현장 방문…이재민 위로",산불에 주민 대피 중인데···‘재난 컨트롤타워’ 1시간 발 묶은 한국당,0.13636363636363635
"문대통령, 강원도 산불 현장 방문…이재민 위로","국토부, 강원도 산불 지역 이재민에 긴급주거지원 방안 마련",0.33333333333333326
"문대통령, 강원도 산불 현장 방문…이재민 위로","고 윤한덕·임세원 교수, 보건의날 정부 포상 수상",0.08108108108108114
"문대통령, 강원도 산불 현장 방문…이재민 위로",고성·속초 산불...이번 피해가 더 컸던 이유,0.11764705882352944
"문대통령, 강원도 산불 현장 방문…이재민 위로",부산청년 10명중 4명은 ‘결혼도 출산도 필요 없다’,0.07894736842105265
"문대통령, 강원도 산불 현장 방문…이재민 위로",러시아 아스트라한 찾아 ‘나인브릿지’ 강조한 정현복 광양시장,0.09999999999999998
"문대통령, 강원도 산불 현장 방문…이재민 위로","문정인의 분노 ""한국이 '1국가 2체제' 원한다고? 빅터 차의 거짓말""",0.09302325581395343
"문대통령, 강원도 산불 현장 방문…이재민 위로",심야 긴급회의부터 화상보고까지…'산불'로 긴박했던 靑,0.1282051282051282
"문대통령, 강원도 산불 현장 방문…이재민 위로",산불 났는데 청와대 안보실장 국회에 붙들어 둔 한국당의 해명 | 허프포스트코리아,0.10204081632653061
"문대통령, 강원도 산불 현장 방문…이재민 위로","부산 청년 절반이 오거돈 시장 ""불통"" 평가…文대통령 국정운영 ""잘하고 있다"" 40.4%",0.19565217391304346
"문대통령, 강원도 산불 현장 방문…이재민 위로",[에듀윌] 2022년까지 매년 3만명 이상 증원 전망…9급 공무원 열기 후끈,0.08695652173913038
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령 ""강원 산불 진화 마지막까지 총력 기울여야""",0.2727272727272727
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령 ""잔불 정리 경각심 갖고 최선...특별재난지역 지정 검토""",0.17948717948717952
"문대통령, 강원도 산불 현장 방문…이재민 위로",[강원산불] 동해안 산불 피해 '눈덩이'…특별재난지역 선포될까,0.21052631578947367
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령, ""강원 산불 지역 특별재난지역 지정 검토"" 지시",0.3666666666666667
"문대통령, 강원도 산불 현장 방문…이재민 위로","[국민연금 의결권①] '큰 손'국민연금, 주총 관행 바꾸다",0.07692307692307687
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령 ""강원 산불 피해지역 특별재난지역 지정 검토하라""",0.303030303030303
"문대통령, 강원도 산불 현장 방문…이재민 위로",文대통령 “강원산부 특별재난지역 지정 검토 서둘러 달라”,0.21621621621621623
"문대통령, 강원도 산불 현장 방문…이재민 위로","""문 대통령, 잘한다"" 41%…취임 후 '최저치'",0.2058823529411764
"문대통령, 강원도 산불 현장 방문…이재민 위로","文대통령 ""강원 산불 '특별재난지역' 지정 검토"" 지시",0.28125
"문대통령, 강원도 산불 현장 방문…이재민 위로","""잔불 진화에 만전"" 특별 재난지역 지정 검토",0.08571428571428574
"문대통령, 강원도 산불 현장 방문…이재민 위로",‘강원산불’ 국가재난사태…축구장 700배 잿더미,0.22857142857142854
"문대통령, 강원도 산불 현장 방문…이재민 위로","유영민 장관, 5G폰 개통식 취소하고 고성 산불 현장 찾아",0.22857142857142854
"문대통령, 강원도 산불 현장 방문…이재민 위로","자율주행차법 국회 통과…""촉진·지원 기틀 마련""",0.10526315789473684
"문대통령, 강원도 산불 현장 방문…이재민 위로","[강원大산불] 정부, 강원도 피해지역에 43억원 긴급 구호 지원",0.18918918918918926
"문대통령, 강원도 산불 현장 방문…이재민 위로","文대통령 ""강원도 산불 지역 특별재난지역 지정 검토"" 지시(종합2보)",0.2702702702702703
"문대통령, 강원도 산불 현장 방문…이재민 위로","文대통령 ""지자체·군 등 가용자원 투입해 마지막까지 최선 다해달라""",0.12195121951219512
"문대통령, 강원도 산불 현장 방문…이재민 위로","문대통령 ""특별재난지역 지정 검토 서둘러달라…잔불 진화 만전""",0.20512820512820507
"문대통령, 강원도 산불 현장 방문…이재민 위로","청와대 ""고성 일대 산불 상황, 오늘 오전 북측에 통보""",0.17142857142857149
"문대통령, 강원도 산불 현장 방문…이재민 위로","""부산 청년 15.6%만 오거돈 시장 긍정평가…19.1%는 부정적""",0.09756097560975607
"문대통령, 강원도 산불 현장 방문…이재민 위로",[녹취구성] 문 대통령 “집 잃은 이재민 각별히 보살펴야”,0.21052631578947367
"문대통령, 강원도 산불 현장 방문…이재민 위로",대북 제재 압박 무용론 '솔솔',0.10344827586206895
"문대통령, 강원도 산불 현장 방문…이재민 위로","남·북·미+러시아, 합종연횡 외교전",0.05714285714285716
"문대통령, 강원도 산불 현장 방문…이재민 위로",[내일의 눈] '큰 성과'라는 이해찬 '송구스럽다'는 황교안,0.04761904761904767
"문대통령, 강원도 산불 현장 방문…이재민 위로","끝까지 환자 생각한 故윤한덕 센터장·故임세원 교수, 훈장 추서",0.09756097560975607
"문대통령, 강원도 산불 현장 방문…이재민 위로",문재인 대통령 “잔불까지 완전히 정리될 때까지 경각심 가지고 마지막까지 최선을”,0.16279069767441867
"문대통령, 강원도 산불 현장 방문…이재민 위로",문 대통령 “꺼진불도 확인… 이재민 체육관 수용 지양”,0.33333333333333326
"문대통령, 강원도 산불 현장 방문…이재민 위로","노영민식 계산법 “창원 성산 45% 득표, 대통령 지지율 4%P 오른 것”",0.19999999999999996
"문대통령, 강원도 산불 현장 방문…이재민 위로","강원도 향한 자원봉사·모금 손길…복지부, 의료지원·긴급복지 실시",0.15384615384615385
"문대통령, 강원도 산불 현장 방문…이재민 위로","文대통령 ""꺼진 불도 다시 확인…'특별재난지역' 지정 검토""",0.21621621621621623
"문대통령, 강원도 산불 현장 방문…이재민 위로",文대통령 국정지지도 41% ‘최저치’…서울·사무직·학생 등 돌려,0.13953488372093026
"문대통령, 강원도 산불 현장 방문…이재민 위로",문 대통령 “강원지역 특별재난지역 지정 속히 검토”,0.25
"문대통령, 강원도 산불 현장 방문…이재민 위로","강원 일대 국가재난사태 선포…이 총리, 화재 현장 상황 지휘",0.2857142857142857
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령, 위기관리센터 다시 찾아…“주민 안전 주의”",0.2571428571428571
"문대통령, 강원도 산불 현장 방문…이재민 위로",문 대통령 “강원 산불 특별재난지역 지정 검토”,0.33333333333333326
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령, 위기관리센터 재방문...""특별재난지역 지정 검토""",0.2571428571428571
"문대통령, 강원도 산불 현장 방문…이재민 위로","文대통령, 강원 산불에 ""특별재난지역 지정 검토""...특교세 등 42억5000만원 긴급 지원키로",0.25
"문대통령, 강원도 산불 현장 방문…이재민 위로","文대통령 ""강원도 산불 지역 특별재난지역 지정 검토"" 지시(종합)",0.2857142857142857
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령, 위기관리센터 방문해 강원 산불 보고 받아…""특별재난지역 지정 검토하라""",0.3414634146341464
"문대통령, 강원도 산불 현장 방문…이재민 위로","부산 청년, 오거돈 시장 어떻게 평가하나…""15.6% 긍정 vs 19.1% 부정""",0.11111111111111116
"문대통령, 강원도 산불 현장 방문…이재민 위로","한국갤럽 ""문 대통령 지지율, 취임후 최저치인 41%까지 하락""",0.15000000000000002
"문대통령, 강원도 산불 현장 방문…이재민 위로","문대통령 ""예비전략 예산, 국방예산 1%로 확대하겠다""",0.28125
"문대통령, 강원도 산불 현장 방문…이재민 위로",소득은 늘었는데 소비가…멀고 험난한 '소주성' 가는 길,0.05263157894736836
"문대통령, 강원도 산불 현장 방문…이재민 위로",자생적 ‘정치판사’의 등장,0.06451612903225801
"문대통령, 강원도 산불 현장 방문…이재민 위로",강원도 산불 피해 복구 발 벗고 나선 금융권,0.1875
"문대통령, 강원도 산불 현장 방문…이재민 위로",[강원 산불]전·현 행안장관 산불 현장서 인수인계(종합),0.19999999999999996
"문대통령, 강원도 산불 현장 방문…이재민 위로",文대통령 “잔불 완전정리 총력…특별재난지역 지정 서둘러 달라”,0.17500000000000004
"문대통령, 강원도 산불 현장 방문…이재민 위로","문 대통령 ""강원도 산불 지역 '특별재난지역' 지정 검토하라""",0.34375
"문대통령, 강원도 산불 현장 방문…이재민 위로",'강원 산불'에 文대통령 '특별재난지역 지정 검토 서둘러 달라'(종합),0.22499999999999998
"문대통령, 강원도 산불 현장 방문…이재민 위로",문재인 대통령 “꺼진 불도 다시 확인하라” 지시,0.25806451612903225
"문대통령, 강원도 산불 현장 방문…이재민 위로","문재인 대통령, 산불피해 이재민 공공기관 연수시설 활용해 수용 지시",0.33333333333333326
"문대통령, 강원도 산불 현장 방문…이재민 위로","文대통령, 강원도 산불 ‘특별재난지역 검토’ 지시",0.3548387096774194
